lane,step_no,name,actor,where,requires_presence_in_chile,requires_rut,cost_amount,cost_unit,cost_as_of,duration_days_min,duration_days_max,documents,source_claim_ids
L02,2,Create Cuenta UChile using passport and enter Ucampus revalidation module; complete the form and upload PDFs.,Applicant,online,False,False,0,none,2026-09-03,1,0,Passport | PDF application documents | Signed declaration,L02-C01 L02-C02
L02,3,Pay filing/admissibility fee and submit. Payment must be in CLP from a Chilean account or Santander deposit; her no-RUT payment reference must be confirmed first.,Applicant or Chile-based payer,either,False,False,2,UTM,2026-09-03 statutory maximum; payment-month UTM controls,1,0,Payment receipt,L02-C05 L02-C10
L02,4,"After admissibility approval, book the original-document verification appointment; attend herself or send an authorised representative with power and the original apostilled documents.",Applicant or mandatario/apoderado; Oficina de Revalidación,Chile,True,False,0,none,2026-09-03,0,0,Original apostilled documents | Notarial power; apostilled/legalised if granted abroad,L02-C03 L02-C04
L02,5,UChile registers and routes the file; the Faculty of Medicine/Unidad de Coordinación Revalidación performs curriculum review and notifies the result.,Oficina de Revalidación; Faculty of Medicine academic unit,Chile,False,False,3,UTM,2026-09-03 statutory maximum,20,0,Verified digital file,L02-C07 L02-C10 L02-C11
L02,6,"If partial equivalence is found, fulfil assigned examinations, final activities, and/or extra curriculum. Examination specifications and 2026 schedule are not publicly verified.",Applicant; Faculty of Medicine,Chile,True,False,15,UTM,2026-09-03 statutory maximum for the set of exams/final activities; additional curriculum can be up to 20 UTM,0,730,Faculty notice of requirements,L02-C08 L02-C09 L02-C10 L02-C11
L02,7,Receive revalidation decision and request the diploma/certificate under UChile's document-issuance procedure.,UChile authority; applicant,either,False,False,0,none,2026-09-03; UChile’s current post-change issuance amount not publicly verified,0,0,Final decision | Diploma/certificate request,L02-C11
L03,1,Identify one qualifying State university that has published its Article 7 procedure and an accredited Medicina programme with graduates.,Applicant,online,False,False,0,none,2026-09-03,0,0,,L03-C04 L03-C11
L03,2,File a single revalidation application with that university's Unidad Coordinadora after its procedure is published; simultaneous applications for the same degree are forbidden.,Applicant and university,online,False,False,0,none,2026-09-03,0,0,Apostilled Ukrainian degree and academic records; translations as required by the future published procedure,L03-C01 L03-C11
L03,3,"If academic requirements are imposed, complete examinations, final activities, or coursework within the regulatory time limits.",Applicant and university,Chile,True,False,0,none,2026-09-03,0,730,,L03-C14
L04,1,Prepare the first-registration documentary bundle,Applicant,Ukraine,False,False,0,none,2026-09-03,0,0,"Valid Ukrainian passport or apostilled copy | Medical diploma/title, apostilled with online verification | Separate professional-habilitation or licence document if required in Ukraine | Official Spanish translations | 4 x 4 cm identification photograph | Completed EUNACOM registration form | Copies of all documents",L04-C03 L04-C09
L04,2,Pay ST fee and formalize first registration through a representative in Santiago,"Applicant and authorized third party, potentially her son",Chile,False,False,310000,CLP,Official fixed-CLP schedule effective 2025-07-01 and still displayed 2026-09-03; reconfirm before payment,0,0,Complete documentary bundle | Written authorization or poder simple | Payment receipt,L04-C08 L04-C10 L04-C12
L04,3,Travel to Chile and sit EUNACOM-ST,Applicant,Chile,True,False,0,none,2026-09-03,1,1,Same passport used for registration | Registration confirmation,L04-C10 L04-C13 L04-C14
L04,4,Receive the EUNACOM-ST result,EUNACOM / ASOFAMECH,online,False,False,0,none,2026-09-03,1,30,Email address registered with EUNACOM,L04-C02 L04-C15
L04,5,"If ST is passed, register and pay for the complete four-stage EUNACOM-SP",Applicant,online,False,False,720000,CLP,Official fixed-CLP schedule effective 2025-07-01 and still displayed 2026-09-03; reconfirm before payment,0,45,Valid ST approval | Passport image | Online registration confirmation,L04-C11 L04-C12 L04-C15
L04,6,Sit the four practical stages assigned by ASOFAMECH,Applicant,Chile,True,False,0,none,2026-09-03,1,730,Passport | School and date assignment notices,L04-C02 L04-C04 L04-C13 L04-C14 L04-C15
L04,7,Receive the full EUNACOM approval certificate and verify reporting to the RNPI,EUNACOM / ASOFAMECH and Superintendencia de Salud,online,False,False,0,none,2026-09-03,0,0,Full ST and SP approval | EUNACOM digital certificate | Passport and any subsequently obtained RUN,L04-C05 L04-C15 L04-C23
L05,1,Obtain legal recognition or revalidation of the foreign medical degree for Chilean practice.,Applicant and the competent recognition/revalidation authority,either,False,False,0,none,UNKNOWN,0,0,Foreign medical degree and recognition/revalidation evidence,L05-C01
L05,2,Apply online to register the legally valid medical title in RNPI; use the prescribed web forms.,Applicant / Superintendencia de Salud,online,False,False,0,none,UNKNOWN — no registration fee published on the procedure page,0,0,Proof of Chilean habilitation through recognition/revalidation | Mandatory web forms,L05-C01 L05-C03 L05-C04
L05,3,"Obtain Chilean RUT, then file CONACEM’s foreign-training specialty application with apostilled/notarized dossier and proof of current practice and ethical standing.",Applicant / CONACEM,online,False,True,230000,CLP,UNDATED,0,0,Chilean RUT | Apostilled/notarized medical and specialty titles | Specialty curriculum/programme | Completion record and marks | Current employment certificate | Ethical-conduct certificate | CV,L05-C07 L05-C08 L05-C10
L05,4,"If CONACEM accepts equivalence, pass the Spanish theoretical and practical examinations and then request RNPI specialty inscription.",Applicant / CONACEM / Superintendencia de Salud,Chile,True,True,300000,CLP,"UNDATED — written exam per attempt; practical exam is additionally CLP 450,000 per attempt",0,0,CONACEM examination eligibility | CONACEM certificate | RNPI specialty forms,L05-C05 L05-C09 L05-C10 L05-C11
L05,5,"For FONASA MLE general-practice or specialist billing, meet EUNACOM/RNPI requirements and separately enter a FONASA convention; enter Rheumatology only once certified and registered.",Applicant / FONASA,online,False,True,0,none,UNKNOWN,0,0,RNPI entry | EUNACOM result if applying as non-specialist | FONASA convention documents | Registered specialty certificate if applying as specialist,L05-C13 L05-C14
L07,1,Build the academic-degree evidence package in Ukraine,"Applicant, dissertation institution, and potentially ENIC Ukraine",Ukraine,False,False,0,none,2026-09-03,0,0,кандидат медичних наук diploma | attestat доцента | dissertation or a stable link to it | official transcript/record and programme information where available | apostilles | Spanish translations | ENIC Ukraine verification/explanatory response if obtainable,L07-C01 L07-C02 L07-C04 L07-C09
L07,2,Apply for reconocimiento of the academic degree to an eligible State university with an affiliated programme,Applicant and selected Chilean State university,online,False,False,2,UTM,2026-09-03,0,30,apostilled degree/certificate | academic record | programme/plan and workload | passport | Spanish translations | thesis or link,L07-C06 L07-C07 L07-C09 L07-C10 L07-C11
L07,3,Academic assessment and decision,Selected Chilean State university,Chile,False,False,3,UTM,2026-09-03,45,0,Complete admissible file,L07-C08 L07-C10 L07-C11
L08,1,"Request fresh originals from Vinnytsia National Medical University and the relevant Ukrainian issuers: medical diploma evidence, transcript with grading scale, curriculum/hours, complete syllabi, кандидат diploma and programme evidence/non-existence letter, доцент certificate, and a separate proof of professional authorisation.",Applicant / issuing Ukrainian institutions,Ukraine,False,False,0,none,UNKNOWN,1,30,Medical diploma | Transcript with marking scale | Curriculum with hours/credits | Complete syllabi | Candidate-of-sciences diploma | Candidate programme documents or official non-existence letter | Associate-professor certificate | Professional-authorisation evidence,L08-C01 L08-C03 L08-C04 L08-C06
L08,2,Apostille every education/science original through МОН; use MFA for the specialty/professional-authorisation document only after confirming its issuer and route.,МОН / MFA Ukraine,Ukraine,False,False,2040,UAH,UNDATED tariff plus 2021 MFA fee,20,30,Education/science originals | Specialty or habilitación document,L08-C06 L08-C07 L08-C09 L08-C10
L08,3,Commission direct Ukrainian-to-Spanish translations only after apostilles are attached; obtain MINREL translation/certification or advance written approval of an alternative translator from the target university.,Applicant / translator / MINREL Chile,either,False,False,0,none,UNKNOWN—MINREL quotes case by case,1,20,Apostilled originals including apostille pages,L08-C12 L08-C13 L08-C14 L08-C15
L08,4,Keep passport as identity evidence; do not apostille the passport or original трудова книжка unless a specific employer gives a compliant alternative instruction.,Applicant,Ukraine,False,False,0,none,UNKNOWN,0,10,Valid passport | Employer/archival experience certificate only if requested,L08-C05 L08-C08
L09,1,"Prepare apostilled, translated degree/medical-authorisation records and create Cuenta Uchile; upload the revalidation file from Ukraine.",Applicant,Ukraine,False,False,2,UTM,UNDATED source; UTM amount stated by Universidad de Chile,0,0,Passport | Apostilled diploma | Apostilled transcript | Apostilled curriculum | Apostilled Ukrainian professional authorisation | Official/certified Spanish translations,L09-C01 L09-C03
L09,2,Have an attorney-in-fact in Chile present originals; arrange the Chilean-account transfer for the UChile entry fee.,Applicant and Chilean representative,either,False,False,2,UTM,UNDATED source; UTM amount stated by Universidad de Chile,20,60,Apostilled/consular-legalized power of attorney | Original academic documents | Payment receipt,L09-C02 L09-C03
L09,3,"Secure either a signed Chilean employment contract or a formal, notarized job offer, then apply in SERMIG as a foreign resident outside Chile.",Applicant and Chilean university/employer,Ukraine,False,False,0,none,2026-09-03; Ukraine-specific amount not established from official public fee page,0,365,Passport valid at least one year | Police certificate not older than 60 days | Contract or formal offer | Employer financial/legal documents | Apostilles and translations,L09-C04 L09-C05 L09-C06 L09-C07 L09-C14 L09-C15
L09,4,"If the son is Chilean or has Residencia Definitiva, compare/apply for family-reunification temporary residence from Ukraine; it permits remunerated work once granted.",Applicant,Ukraine,False,False,0,none,2026-09-03; Ukraine-specific amount not established from official public fee page,0,365,Valid passport | Ukrainian police certificate | Recent photo | Son's Chilean birth certificate or proof of definitive residence | Proof of parent-child relationship,L09-C08 L09-C09 L09-C14 L09-C15
L09,5,"After grant, download the electronic permit, enter Chile within 90 days, and obtain the foreigner identity card/RUN at Registro Civil within 30 days of residence taking effect.",Applicant,Chile,True,False,4270,CLP,2026-01-29,20,30,Electronic residence permit | Passport,L09-C11
L09,6,"Affiliate to health coverage and determine, before payroll, whether the foreign-technician pension exemption can lawfully be used; otherwise arrange normal pension/health deductions.",Applicant and employer/payroll,Chile,True,True,0,none,2026-09-03,0,3,Foreigner identity card/RUN or provisional RUT | Employment contract | Proof of prior Ukrainian social-security affiliation if claiming exemption,L09-C17 L09-C18
L11,1,Monitor current Faculty of Medicine academic competitions,Applicant,online,False,False,0,none,2026-09-03,1,4,Spanish academic CV | apostilled degree and academic-degree certificates | official Spanish translations | passport | reference letters,L11-C01 L11-C02 L11-C03 L11-C04
L11,2,"Monitor public clinical vacancies, but do not apply before residence and credential prerequisites are met",Applicant,online,False,False,0,none,2026-09-03,1,365,Later: Chilean recognition/revalidation evidence | RNPI registration | specialty certification/registration | EUNACOM where required | residence permission,L11-C06 L11-C08 L11-C12 L11-C13
L12,1,"Reject monopoly-only advice and identify a qualifying State university with an accredited, allied medical programme.",Applicant / target university,online,False,False,0,none,2026-09-03,0,0,Ukrainian medical degree information | target programme and institutional accreditation evidence,L12-C01 L12-C02
L12,2,Request written confirmation that the university has an operational post-Decreto-174 intake route for a foreign Médico Cirujano degree before ordering translations or paying an adviser.,Applicant / qualifying university,online,False,False,0,none,2026-09-03,1,30,Scans of degree | transcript | curriculum | passport,L12-C02 L12-C14 L12-C15
L12,3,Use Apostilles where the target institution requires authenticated Ukrainian public documents; do not purchase consular legalisation for Chile solely because a translation agency says it is required.,Applicant / Ukrainian issuing authority,Ukraine,False,False,0,none,2026-09-03,0,0,Degree | transcript | curriculum or certificates as requested,L12-C09 L12-C10
L12,4,"Treat general medical-title revalidation, EUNACOM, health-provider registration, and rheumatology-specialty certification as separate tracks.",Applicant / EUNACOM / Superintendencia / specialty authority,either,True,False,0,none,2026-09-03,0,0,Revalidation or EUNACOM outcome | identity document | specialty evidence,L12-C08 L12-C11 L12-C12 L12-C13
L13,1,A01 — Define a strictly non-clinical job description,Applicant and Chilean medical faculty,online,False,False,0,none,2026-09-03,7,30,"Written duties excluding diagnosis, treatment, clinical supervision and patient contact",L13-C05
L13,2,A02 — Apostille four education credentials,Applicant and Ukrainian Ministry of Education and Science apostille service,Ukraine,False,False,1404,UAH,2026-09-03; 4 × UAH 351,42,56,Medical diploma | Diploma supplement or transcript | PhD diploma | Associate-professor certificate,L13-C02
L13,3,A03 — Translate four credentials into Spanish,Ukrainian translator and notary,Ukraine,False,False,2700,UAH,2026-09-03; 4 × UAH 675,1,7,Four apostilled education credentials,L13-C02
L13,4,A04 — Obtain and apostille Ukrainian criminal-record certificate,Applicant and Ukrainian Ministry of Justice,Ukraine,False,False,610,UAH,2026-09-03,2,28,Police record | Passport,L13-C02 L13-C04
L13,5,A05 — Secure the non-clinical academic offer,Applicant and university,online,False,False,0,none,2026-09-03,30,180,CV | Publication record | Teaching record | Apostilled and translated degrees | Passport | Criminal-record certificate,L13-C06 L13-C08
L13,6,A06 — Apply from Ukraine for residence for remunerated activities,Applicant and Servicio Nacional de Migraciones,online,False,False,85,USD,2026-09-03; converted by SERMIG at CLP 925.25/USD,90,367,Passport | Photograph | Criminal-record certificate | Employment contract or qualifying job offer | Employer legal documents,L13-C04
L13,7,A07 — Travel Vinnytsia to Warsaw,Applicant,Ukraine,False,False,3000,UAH,2026-09-03 route price,1,1,Passport | Residence grant,L13-C03
L13,8,A08 — Fly one-way Warsaw to Santiago,Applicant,either,True,False,603877,CLP,2026-09-03 airfare snapshot,1,2,Passport | Residence grant | Air ticket,L13-C03
L13,9,A09 — Initial accommodation with son,Applicant and son,Chile,True,False,0,CLP,"Assumes family hosting; otherwise CLP 400,000/month",30,30,,L13-C03 L13-C07
L13,10,A10 — Obtain Chilean identity card and RUN,Applicant and Servicio de Registro Civil e Identificación,Chile,True,False,4270,CLP,2026-01-29,20,30,Passport | Residence documentation,L13-C04
L13,11,A11 — Optional clinical-level Spanish programme,Applicant and language provider,online,False,False,2716000,CLP,2026-09-03; optional in Scenario A,365,730,,L13-C11
L13,12,B01 — Reach working clinical Spanish,Applicant and language provider,online,False,False,2716000,CLP,2026-09-03; 380-hour planning basket,365,730,,L13-C11 L13-C13
L13,13,B02 — Apostille medical diploma,Applicant and Ukrainian Ministry of Education and Science apostille service,Ukraine,False,False,351,UAH,2026-09-03,42,56,Medical diploma,L13-C02
L13,14,B03 — Apostille home-country professional-habilitation certificate,Applicant and competent Ukrainian authority,Ukraine,False,False,610,UAH,2026-09-03 budgeted at Justice-apostille rate,2,28,"Certificate showing authority to practise medicine, if separately issued",L13-C02
L13,15,B04 — Translate EUNACOM documents into Spanish,Ukrainian translator and notary,Ukraine,False,False,1350,UAH,2026-09-03; 2 × UAH 675,1,7,Apostilled medical diploma | Apostilled habilitation certificate,L13-C02
L13,16,B05 — Courier originals to her son in Chile,Applicant and Ukrposhta EMS,Ukraine,False,False,27.5,USD,2026-09-03; parcel up to 250 g,10,35,Original apostilled diploma | Original habilitation certificate | Official translations | Written proxy,L13-C03
L13,17,B06 — Proxy formalises first EUNACOM-ST registration,Son as proxy and ASOFAMECH,Chile,False,False,310000,CLP,Fee effective since 2025-07-01,1,3,Passport copy | Original or permitted diploma copy | Apostille | Official translation | Poder simple,L13-C09 L13-C10
L13,18,B07 — Enter Chile as a visa-exempt visitor for examinations,Applicant and Chilean border authority,Chile,True,False,0,USD,Ukrainian visitor table consulted 2026-09-03,0,1,Valid Ukrainian passport | Return/onward travel evidence | Accommodation details,L13-C04
L13,19,B08 — Return bus journey Vinnytsia–Warsaw,Applicant,Ukraine,False,False,6000,UAH,"2026-09-03; two × UAH 3,000",2,2,Passport,L13-C03
L13,20,B09 — Return flight Warsaw–Santiago,Applicant,either,True,False,1008894,CLP,2026-09-03 low end of typical return range,3,5,Passport | Air ticket,L13-C03
L13,21,B10 — Examination-period accommodation with son,Applicant and son,Chile,True,False,0,CLP,"Family-hosting assumption; otherwise budget CLP 400,000/month",90,150,,L13-C03 L13-C12
L13,22,B11 — Sit EUNACOM-ST,Applicant and ASOFAMECH,Chile,True,False,0,CLP,"Included in B06's CLP 310,000",1,15,Passport | Examination confirmation,L13-C10 L13-C13
