slug,institution,is_state,regions,open_academic_posts_2026_09_03,positions_note,foreign_title_requirement_note,careers_page_url,academic_concursos_url,hr_contact,rheumatology_unit,rheumatology_postgrad,faculty_url,dean,faculty_email,checked_at
universidad-de-talca,Universidad de Talca,yes,Maule,1,"One open academic/research post was found today: a 44-hour postdoctoral researcher (honorarios) in social/economic sciences at the Faculty of Economics and Business, deadline 06-09-2026. No open Medicine, Internal Medicine, or Rheumatology academic post was found.","The open call does not require Chilean nationality or revalidación of a doctorate. It states: “Ser chileno(a) o extranjero(a) con residencia en Chile y domicilio en el país al momento de iniciar sus labores.” It also accepts “programas nacionales acreditados o sus equivalentes extranjeros”. Thus, a foreign doctorate is accepted, but Chilean residence and domicile are required when work starts.",https://www.llamadoconcurso.utalca.cl/,https://www.llamadoconcurso.utalca.cl/,No HR contact is published for the open post. Named call contact: Dr. Ian S. Acuña-Rodríguez; application channel: antarcticprisma@gmail.com.,yes,no,https://www.utalca.cl/facultades/facultad-de-medicina/,Cristian Vilos Ortiz,UNKNOWN,2026-09-03
universidad-finis-terrae,Universidad Finis Terrae,no,Metropolitana,1,"The official jobs portal showed 8 current vacancies today. One is an academic-leadership role, “Director Escuela de Historia”; no Medicine, Internal Medicine, or Rheumatology academic post was open today.","No currently open Medicine/Internal Medicine academic post was published, so there is no published job requirement concerning foreign medical degrees, revalidación, or Chilean nationality to quote. Separately, UFT’s medical-specialty admissions page requires: “Poseer el título de Médico Cirujano legalmente inscrito en Chile.”",https://uft.trabajando.cl/,,UNKNOWN,yes,no,https://facultadmedicina.finis.cl/,Dr. Ernesto Vega Asún,ssalinas@uft.cl,2026-09-03
universidad-austral-de-chile,Universidad Austral de Chile,no,Los Ríos,,The live public employment portal was readable but did not expose vacancy cards in the fetched page. UACh's academic-concurso instructions direct users to “Puestos actuales” in its Recruiting system; that current listings view was not publicly readable. Open academic posts today therefore could not be counted; this is not evidence that none are open.,"No readable current academic vacancy was available, so UACh published no current vacancy requirement that could be verified here concerning foreign degrees, revalidación, or Chilean nationality.",https://empleos.uach.cl/,https://www.uach.cl/mgi/guias-rapidas/recruiting,UNKNOWN,yes,unknown,https://medicina.uach.cl/,Dra. Ingrid Pamela Ehrenfeld Slater (Pamela Ehrenfeld),graduadosmedicina@uach.cl,2026-09-03
universidad-autonoma-de-chile,Universidad Autónoma de Chile,no,La Araucanía | Maule | Metropolitana,0,None open today. The official “Trabaja con nosotros” page is a general CV/application form and displayed no named academic vacancy or Medicina/Internal Medicine post when fetched on 3 September 2026.,"No open post published requirements concerning foreign degrees, revalidación, or nationality. The latest located academic-call PDF is closed (deadline 8 April 2025) and said: “Ser chileno(a) o extranjero(a) con permanencia definitiva en Chile al momento del cierre de la convocatoria.”",https://postgrados.uautonoma.cl/trabaja-con-nosotros/,unknown,unknown,unknown,no,https://www.uautonoma.cl/facultades/ciencias-de-la-salud/,Dr. Luis Castillo Fuenzalida,unknown,2026-09-03
universidad-bernardo-o-higgins,Universidad Bernardo O'Higgins,no,Metropolitana,0,none open today. The official UBO employment portal displayed “Últimos empleos publicados” but no job listings when checked on 3 September 2026.,"No open post was listed, so the portal published no requirements concerning foreign degrees, revalidación, or Chilean nationality.",https://ubo.trabajando.cl/,unknown,unknown,yes,unknown,https://admision.ubo.cl/facultades/facultad-de-ciencias-medicas/,Dr. Jorge Rodríguez Díaz,unknown,2026-09-03
universidad-catolica-de-la-santisima-concepcion,Universidad Católica de la Santísima Concepción,no,Biobío,0,"none open today. The official page says it lists available competitions, but displayed no competition or vacancy entries when checked on 3 September 2026.","No open academic post was displayed, so there are no current published requirements to quote concerning foreign degrees, revalidación, or Chilean nationality.",https://ucsc.cl/concurso/,https://ucsc.cl/concurso/,UNKNOWN,yes,unknown,https://medicina.ucsc.cl/,Dr. Patricio Manzárraga Valencia,emedicina@ucsc.cl,2026-09-03
universidad-catolica-del-maule,Universidad Católica del Maule,no,Maule,0,"None open today. The live UCM employer page shows the heading “Trabajos en U. Catolica del Maule - Trabaja con nosotros” but no job cards, including no Medicine or Internal Medicine academic post.","No open academic advert was available, so no vacancy-specific rule on nationality, foreign degrees or revalidación could be read. Separately, UCM's medical-specialty regulation states: “Poseer el Título Profesional de Médico Cirujano obtenido en Chile y/o convalidado si corresponde.” This is relevant to clinical postgraduate training, not evidence of an academic-hiring rule.",https://www.ucm.cl/la-universidad/trabaja-con-nosotros/,https://ucatolicamaule.trabajando.cl/,UNKNOWN,yes,no,https://www.ucm.cl/facultades/facultad-de-medicina/,Dr. Iván Castillo Montecino,facultadmedicina@ucm.cl,2026-09-03
universidad-de-antofagasta,Universidad de Antofagasta,yes,Antofagasta,0,none open today. The official Portal de Concursos returned “0 concursos encontrados” and “No se encontraron concursos”; therefore no Medicine/Internal Medicine academic post is open.,"No current academic-vacancy requisitos were available because the official portal had no open competitions. The live portal therefore publishes no current condition on foreign degrees, revalidación, or Chilean nationality to quote.",https://trabajosua.uantof.cl/,https://trabajosua.uantof.cl/,UNKNOWN,yes,no,https://www.uantof.cl/facultades/facultad-de-medicina-y-odontologia/,Dr. Joel Enrique Bravo Bown,sec.fmo@uantof.cl; decano.fmo@uantof.cl,2026-09-03
universidad-de-la-frontera,Universidad de La Frontera,yes,La Araucanía,0,"none open today. The official transparency register, updated 25 August 2026, lists its most recent academic call in June 2026; the UFRO jobs listing identifies that call's deadline as 24 July 2026. No Medicine or Internal Medicine academic post was found open.","No open academic post today; therefore there is no current open-post requirement on foreign degrees, revalidación, or Chilean nationality to quote. For the separate Medicina Interna specialty, the published requirement states: “Título de Médico Cirujano o Médica Cirujano otorgado por Universidades Chilenas o extranjeras debidamente convalidadas.”",https://personas.ufro.cl/servicio/convocatorias/,https://extranet.ufro.cl/concursos/,Dirección de Gestión y Desarrollo de Personas: dir.gdp@ufrontera.cl; +56 45 232 5076,yes,no,https://www.med.ufro.cl/,Dr. Wilfried Diener Ojeda,decanmed@ufrontera.cl,2026-09-03
universidad-de-la-serena,Universidad de La Serena,yes,Coquimbo,,"The live page lists one current file, “Resolución N°1865/2026”, but its PDF could not be read through the web reader; the number of open academic posts and whether a Medicine/Internal Medicine post is open cannot be verified today.","The current 2026 notice’s requisites could not be read. An earlier ULS academic-concurso base (not evidence for the current call) says: “Si el postgrado ha sido obtenido en el extranjero y no se encontrase reconocido en Chile, éste deberá estar reconocido antes del término de su interinato.” No nationality requirement was found in the current readable notice.",https://userena.cl/trabaja-con-nosotros,https://userena.cl/trabaja-con-nosotros,UNKNOWN,yes,unknown,https://userena.cl/actualidad/8225-estudiantes-de-medicina-de-la-userena-visitan-el-cdt-del-hospital-de-la-serena-en-su-primer-acercamiento-a-la-red-asistencial.html,UNKNOWN,UNKNOWN,2026-09-03
universidad-de-los-andes,Universidad de los Andes,no,Metropolitana,0,"None open today for an academic teaching/faculty post or Medicine/Internal Medicine post. The live university jobs page displayed five non-faculty positions: Analista de Postgrado, Analista asuntos estudiantiles pregrado, Analista Financiero, Jefe Proyectos Académicos, and Coordinadora Académica.","No currently displayed posting states a Chilean-nationality, revalidación, or foreign-degree rule. The health-postgraduate analyst posting instead states: ""Carrera(s): Pedagogía Media Historia Filosofía Literatura"".",https://alumni.uandes.cl/trabajar-en-universidad-de-los-andes,https://alumni.uandes.cl/trabajar-en-universidad-de-los-andes,UNKNOWN,yes,no,https://www.uandes.cl/universidad/facultades/medicina/,Enrique Oyarzún Ebensperger,mvzamorano@uandes.cl,2026-09-03
universidad-de-los-lagos,Universidad de Los Lagos,yes,Los Lagos,0,None open today. The official concursos page shows an empty “Abiertos” section; listed calls are under “Cerrados”. Therefore no medicine/internal-medicine academic post is open.,"No applicable published requirement: there are no open academic posts today. No current open-call text was available to assess foreign degrees, revalidación, or nationality.",https://www.ulagos.cl/concursopublico/convocatoria-de-seleccion-01-de-febrero/,https://www.ulagos.cl/concursopublico/convocatoria-de-seleccion-01-de-febrero/,UNKNOWN,yes,no,https://salud.ulagos.cl/,UNKNOWN,carla.bittner@ulagos.cl,2026-09-03
universidad-de-magallanes,Universidad de Magallanes,yes,Magallanes,0,"None open today on the current official Human Resources page or in the official vacancy searches reviewed. That page is the university’s personnel unit, but it does not currently publish an academic-concurso listing; no Medicine/Internal Medicine post was found.","No published open academic-post requirements were available to quote. Therefore UMAG makes no current vacancy-specific statement there about foreign degrees, revalidación, or Chilean nationality.",https://umag.cl/nuestra-universidad/vicerrectoria-de-adm-y-finanzas/direccion-de-gestion-y-desarrollo-de-personas/,,"Dirección de Gestión y Desarrollo de Personas — direccion.personas@umag.cl; +56 61 2201450, extension 1768.",yes,no,https://umag.cl/facultades-2/escuela-de-medicina/,"UNKNOWN (the unit is an Escuela, not a Facultad; its current director is Mario Mayanz Csato)",veronica.torres@umag.cl,2026-09-03
universidad-de-o-higgins,Universidad de O'Higgins,yes,Lib. Gral. B. O'Higgins,0,"None open today. The live page showed three open non-academic roles: Médico(a) Veterinario(a) en Cuidado y Uso de Animales, Analista de Rendiciones, and Profesional de Divulgación Científica. It showed no Medicine, Internal Medicine, rheumatology, or academic-teaching post.","No current academic vacancy is published, so there is no open academic-post requirement on foreign degrees, revalidación, or nationality to quote. For clinical-specialty admission (not employment), UOH states: “El título obtenido de médico cirujano debe ser otorgado por una Universidad Chilena o una Universidad extranjera (revalidado en Chile).”",https://www.uoh.cl/trabaja-con-nosotros/,https://www.uoh.cl/trabaja-con-nosotros/,UNKNOWN,yes,no,https://www.uoh.cl/escuela-de-salud/,Daniela Flores Meza (Directora de la Escuela de Salud; UOH does not use a Facultad de Medicina/dean structure),direccion.esalud@uoh.cl,2026-09-03
universidad-de-santiago-de-chile,Universidad de Santiago de Chile,yes,Metropolitana,0,"none open today. The live official page still displayed past 2025 calls; the separately indexed 2026 call had a 1 May 2026 deadline, already passed on 3 September 2026.","UNKNOWN — there was no open academic post whose requirements could be read today. No current call was found stating a nationality, foreign-degree, or revalidación requirement.",https://portal.usach.cl/concurso-publico-contratacion-academicas-y-academicos,https://portal.usach.cl/concurso-publico-contratacion-academicas-y-academicos,contrataciones@usach.cl,yes,unknown,https://fcm.usach.cl/,Dr. Alejandro Guajardo Córdoba,alejandro.guajardo@usach.cl,2026-09-03
universidad-de-tarapaca,Universidad de Tarapacá,yes,Arica y Parinacota,0,None open today. The 2026 official register contains one February entry only: it reverses a prior selection procedure for three professor posts in the Faculty of Education and Humanities; it is not an open call and is unrelated to Medicine/Internal Medicine.,"No open academic post was published on the current official register, so there are no current published requirements concerning foreign degrees, revalidación, or Chilean nationality to quote.",https://www.uta.cl/transparencia/actosyresoluciones_d/concursos/2026/,https://www.uta.cl/transparencia/actosyresoluciones_d/concursos/2026/,transparencia@gestion.uta.cl; +56 58 2386192 (technical contact for the transparency portal),yes,no,https://www.uta.cl/index.php/portada-facultad-de-medicina/,Andrea Larrazábal Miranda,medicinasec@gestion.uta.cl,2026-09-03
universidad-de-valparaiso,Universidad de Valparaíso,yes,Valparaíso,0,"None open today for an academic post, including Medicine/Internal Medicine. The live listings include one still-open 44-hour internal-mobility professional post supporting/teaching Ingeniería en Finanzas, closing 4 September 2026; it is restricted to UV plant/contract staff and is not an academic vacancy. The two other listed non-academic calls closed 2 September 2026.","No open academic post was published. UV's academic-applicant rules say: “Copia digital de la cédula nacional de identidad, documento de identificación de país de origen o pasaporte, en caso de postulantes extranjeros” and require a copy of the relevant professional title/degree; they do not state Chilean nationality or revalidación. The only live internal professional call states: “Ser ciudadano; no obstante, en casos de excepción ... podrá designarse ... a extranjeros que posean conocimientos c",https://dgdp.uv.cl/reclutamientoseleccion,https://cyl.uv.cl/cargos,"concursos@uv.cl; Dirección de Gestión y Desarrollo de Personas, +56 32 250 7206",unknown,yes,https://facultadmedicina.uv.cl/,Antonio Orellana Tobar,extension.facultadmedicina@uv.cl,2026-09-03
universidad-del-alba,Universidad del Alba,no,Coquimbo | Metropolitana,0,"None open today: the public Portal de Provisión Docente provides rolling CV registration and selection stages, but displays no discrete academic vacancies or Medicina/Internal Medicine post.","No published requirement about foreign degrees, revalidación, or Chilean nationality was shown. The portal only says applicants submit “documentación académica y/o profesional ... para cada campo.”",https://postulaciondocente.udalba.cl/,https://postulaciondocente.udalba.cl/,UNKNOWN,yes,unknown,https://www.udalba.cl/medicina/,Dra. María Verónica Morales Vaccarezza,veronica.morales@udalba.cl,2026-09-03
universidad-del-bio-bio,Universidad del Bío-Bío,yes,Ñuble,0,None open today. The live 2026 academic-concursos page displays a call dated 26/04/2026 whose closing date was 15 May 2026 (30 May for Law); it included no Medicine/Internal Medicine post.,"No current vacancy is open, so there are no current post-specific requirements. The latest general 2026 call states: «En caso de certificados de título y/o grado académico, obtenidos en el extranjero, deberá ser acreditado de conformidad a la ley. Debidamente apostillados o legalizados» and «Adjuntar traducción al español». It also requires «Fotocopia Cédula de Identidad o permiso de residencia vigente»; it does not state Chilean nationality. A 2023 Medicine-director call specifically required: ",https://www.ubiobio.cl/concursos/?trk=public_post_reshare-text,https://www.ubiobio.cl/concursos/?trk=public_post_reshare-text,UNKNOWN,unknown,no,https://webfacsa.ubiobio.cl/index.php/facultad/,Dra. María Pía Gianelli Barra,bparada@ubiobio.cl,2026-09-03
universidad-del-desarrollo,Universidad del Desarrollo,no,Metropolitana,0,None open today on the university’s public research/academic vacancies page. Its newest listed academic post is dated 13 May 2026; that post’s applications closed on 28 May 2026. No medicine or internal-medicine teaching post is open there today.,"No open academic post was found today, so there are no current published job requisitos concerning foreign degrees, revalidación, or Chilean nationality. Separately, the open rheumatology sub-specialty programme requires: ""título equivalente obtenido en el extranjero, debidamente validado en Chile"" and EUNACOM.",https://investigacion.udd.cl/categoria/trabaja-con-nosotros/,https://investigacion.udd.cl/categoria/trabaja-con-nosotros/,UNKNOWN,yes,yes,https://medicina.udd.cl/,Marcela Castillo Franzoy,postgradomed@udd.cl,2026-09-03
universidad-mayor,Universidad Mayor,no,La Araucanía | Metropolitana,0,"None open today. The official employment portal was checked on 3 September 2026. Its recently listed academic Engineering vacancy is closed; no Medicine or Internal Medicine academic post was open. The closed listing concerned two Engineering posts, not Medicine.","No open post published requirements to assess. The most recent closed academic listing did not state Chilean nationality, degree revalidation, or title recognition requirements. Its foreign-applicant requirement was: «En el caso de postulantes extranjeros/as, poseer dominio del idioma español o expresar formalmente el compromiso de adquirirlo durante los dos primeros años de contratación.»",https://umayor.trabajando.cl/,https://umayor.trabajando.cl/,UNKNOWN,unknown,no,https://www.umayor.cl/um/facultades/facultad-de-medicina-y-ciencias-de-la-salud,Dr. Álvaro Erazo,UNKNOWN,2026-09-03
